timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,11.8,27.9,0.20,0,212
5s,12.8,28.3,46.8,0,72
10s,60.9,28.3,83.0,0,322
15s,5.7,29.6,1.40,0,1160
20s,17.4,30.3,4.90,0,3867
25s,3.8,28.8,2.30,0,715
30s,6.8,28.6,0,0,0
35s,7.4,28.6,20.7,0,112
40s,15.2,28.6,0.20,0,4091
45s,11.2,28.5,13.5,0,64
50s,6.7,28.5,0.20,0,120
55s,10.5,28.4,0,0,0
60s,15.3,28.6,0,0,0
65s,3.3,28.5,0,0,0
70s,4.7,28.5,0,0,0
75s,9.7,28.6,78.5,0,48
80s,11.5,28.6,0.20,0,4091
85s,9.3,28.5,13.5,0,40
90s,11.2,28.5,59.9,0,12
95s,10.5,28.4,0,0,0
100s,8.0,28.4,7.99,0,32
105s,8.5,28.4,0,0,0
110s,8.0,28.4,0,0,0
115s,36.0,28.5,87.5,0,183
120s,17.8,28.7,0,0,0
