timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,91.0,15.8,51.4,0,288
5s,7.9,15.9,0,0,0
10s,27.8,16.2,10.2,31,1012
15s,16.2,17.8,8.603027,5199,
20s,20.9,16.7,9.30,0,12
25s,7.7,16.4,25.7,0,3457
30s,59.0,16.4,54.5,0,4995
35s,44.7,17.4,12.9,128,22
40s,6.9,16.7,5.70,0,12
45s,26.2,16.9,12.2,0,5819
50s,8.0,16.9,0.10,236,0
55s,9.1,17.2,24.5,0,3276
60s,13.5,17.2,0.30,0,412
65s,20.7,17.7,0.20,0,72
70s,9.5,17.7,97.5,0,104
75s,20.4,17.3,89.4,0,323
80s,11.3,17.6,13.5,0,4091
85s,14.4,17.7,2.70,0,803
90s,26.2,17.9,2.40,0,76
95s,18.2,18.0,12.77936,20,
100s,20.2,18.4,32.9,0,559
105s,13.7,18.1,0,0,0
110s,23.5,18.2,39.9,200,480
115s,8.1,17.8,0.50,212,140
120s,7.9,17.9,0,0,0
125s,7.7,17.8,0.60,0,16
130s,11.5,18.0,0,0,76
