timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,86.5,13.9,0,0,0
5s,4.0,14.2,0,0,0
10s,16.1,14.4,0,0,0
15s,39.5,15.0,0,0,0
20s,10.7,14.8,12.9,0,4091
25s,3.8,14.5,2.80,0,772
30s,27.9,14.7,3.80,0,8343
35s,77.3,14.5,19.4,16,17
40s,6.7,16.1,62.5,0,8182
45s,19.4,16.1,80.8,0,191
50s,21.4,15.9,87.5,0,283
55s,4.8,16.0,35.5,0,124
60s,8.7,16.1,0.10,0,4092
65s,22.1,16.3,66.7,0,11
70s,24.4,16.1,0.20,0,4092
75s,10.8,16.6,11.9,0,33
80s,10.7,16.8,59.3,0,344
85s,8.2,16.7,0.60,0,336
90s,43.5,17.1,12.5,0,8522
