timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,3.3,20.6,0.10,0,4095
5s,3.9,20.6,0.40,0,100
10s,30.6,20.8,0.60,0,48
15s,52.4,21.2,5.20,0,2416
20s,5.4,21.9,0.40,0,24
25s,16.5,21.7,44.6,0,24
30s,4.8,21.0,84.4,0,36
35s,9.4,20.9,0.20,0,4092
40s,12.9,21.0,1.10,0,276
45s,2.2,20.9,0.10,0,4092
50s,15.2,20.9,26.3,0,128
55s,18.7,20.9,0.10,0,4092
60s,3.9,20.9,1.40,0,156
65s,6.7,20.9,0.40,0,28
70s,3.9,20.9,0,0,0
75s,3.9,20.9,75.2,0,28
80s,16.5,20.9,14.0,0,24
85s,2.4,20.9,1.00,0,48
90s,4.8,20.9,21.6,0,28
95s,4.8,20.9,0.50,0,24
100s,2.3,20.9,0,0,0
105s,3.4,20.9,0.40,0,28
110s,24.7,21.0,95.8,0,89
115s,12.8,21.5,2.80,0,1420
120s,28.6,21.7,30.0,0,33
125s,8.4,21.8,1.10,0,176
130s,7.8,21.7,0.40,0,28
135s,4.8,21.1,13.6,0,4092
140s,4.7,21.5,62.1,0,316
145s,4.9,21.5,4.70,0,24
150s,14.3,21.4,47.6,0,200
155s,8.6,21.5,18.2,0,68
160s,6.2,21.6,4.40,0,1172
165s,6.7,21.4,0,0,0
170s,71.8,21.6,97.3,0,110
175s,29.4,21.9,0.40,0,28
180s,26.5,22.1,91.7,0,334
185s,52.2,23.3,1.30,0,228
190s,6.7,23.5,13.5,0,4095
195s,12.3,23.3,0.60,0,80
200s,13.3,23.3,0.20,0,24
205s,10.2,23.3,0.80,0,560
210s,13.2,23.4,0,0,0
215s,17.3,23.3,48.1,0,384
220s,4.1,23.4,0.50,0,76
225s,6.7,23.3,0.40,0,24
230s,16.8,23.3,0.60,0,32
235s,8.1,23.3,0.60,0,24
240s,2.3,23.3,1.10,0,92
245s,32.7,23.3,3.40,0,92
250s,6.8,23.3,4.60,0,60
255s,4.2,23.3,0,0,0
260s,16.9,23.4,36.7,0,24
265s,6.5,23.4,0.40,0,124
270s,2.2,23.3,0.30,0,840
275s,17.1,23.3,22.5,0,84
280s,4.7,23.3,0.70,0,72
285s,5.7,23.3,0.60,0,32
290s,4.0,23.3,0,0,0
295s,4.7,23.3,6.10,0,24
300s,6.5,23.3,0,0,0
