timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,4.8,21.0,0.70,0,276
5s,5.7,21.1,0,0,0
10s,29.1,21.2,36.7,0,100
15s,20.5,21.6,5.50,0,2972
20s,8.7,21.7,4.30,0,3232
25s,6.0,21.4,61.7,0,4135
30s,3.6,21.4,2.00,0,488
35s,5.6,21.8,0.50,0,28
40s,3.9,21.6,1.00,0,88
45s,7.0,21.7,13.6,0,8191
50s,7.8,21.6,0.50,0,108
55s,21.8,21.5,3.50,0,188
60s,7.6,21.6,0.60,0,44
65s,53.6,21.6,3.00,0,5775
70s,32.1,22.2,88.7,0,333
75s,52.3,22.1,88.2,0,1400
80s,34.9,23.1,3.60,0,732
85s,18.4,23.6,0.40,0,84
90s,10.3,23.4,1.10,0,176
95s,17.6,23.5,0.80,0,324
100s,8.8,23.5,0,0,0
105s,7.0,23.2,0.30,0,24
110s,20.2,23.4,47.3,0,260
115s,10.1,23.4,18.6,0,16
120s,23.2,23.3,0.60,0,36
125s,9.1,23.5,0.30,0,24
130s,5.7,23.2,0.60,0,156
135s,14.0,23.2,0.40,0,56
140s,5.6,23.4,83.6,0,36
145s,6.7,23.2,1.00,0,176
150s,6.6,23.4,1.00,0,220
155s,4.7,23.4,0,0,0
160s,17.1,23.0,0,0,0
165s,17.5,23.1,40.7,0,2040
170s,13.6,23.4,0.40,0,28
175s,4.8,23.3,0.60,0,64
180s,6.7,23.4,0.10,0,12
185s,6.7,23.2,42.4,0,108
190s,38.4,23.4,0.10,0,12
195s,5.7,23.4,71.1,0,92
200s,10.9,23.2,0.20,0,24
205s,6.0,23.4,1.20,0,236
210s,38.4,23.1,62.8,0,112
215s,9.5,22.9,0.30,0,12
220s,17.2,23.1,48.9,0,104
225s,21.5,22.9,0.10,0,4095
230s,5.5,23.3,1.00,0,120
235s,6.7,23.3,0.40,0,24
240s,9.5,23.2,0.40,0,24
245s,17.5,23.3,4.10,0,72
250s,14.6,23.2,0.20,0,24
255s,22.2,23.4,45.8,0,92
260s,16.1,23.4,1.30,0,104
265s,5.7,23.2,0,0,0
270s,5.8,23.2,0,0,0
275s,17.0,22.9,47.6,0,96
280s,10.8,23.0,0.90,0,64
285s,5.6,23.0,0.40,0,12
290s,18.3,22.9,0.60,0,52
295s,5.7,23.1,27.1,0,184
300s,15.1,23.1,0.60,0,48
