timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,8.5,21.1,0,0,0
5s,8.2,21.0,3.89,0,28
10s,27.6,21.3,0.10,0,4095
15s,14.1,22.0,1.50,0,440
20s,15.5,21.9,13.2,0,20
25s,4.8,21.3,48.6,0,208
30s,4.3,21.2,0.10,0,4095
35s,5.7,21.2,39.3,0,48
40s,7.8,21.1,0,0,0
45s,5.9,21.2,1.50,0,372
50s,17.4,21.2,3.00,0,76
55s,34.4,21.1,46.2,0,138
60s,12.8,21.6,18.5,0,12
65s,10.5,22.1,13.5,0,4095
70s,10.3,22.1,1.10,0,168
75s,9.3,21.9,0,0,0
80s,25.3,21.3,34.4,0,64
85s,12.9,21.6,4.00,0,2448
90s,10.6,21.9,2.50,0,1183
95s,7.9,21.7,3.40,0,236
100s,40.0,21.8,83.1,0,361
105s,46.5,22.4,25.8,0,2828
110s,29.3,22.0,68.9,0,206
115s,14.8,23.5,1.00,0,592
120s,19.6,23.7,31.6,0,24
125s,4.6,23.6,1.00,0,108
130s,18.6,23.6,0.20,0,320
135s,9.3,23.6,0.40,0,28
140s,3.8,23.6,0.50,0,144
145s,10.3,23.6,0.90,0,60
150s,9.3,23.6,0,0,0
155s,7.7,23.6,4.20,0,68
160s,12.8,23.6,1.60,0,432
165s,8.2,23.7,0,0,0
170s,8.5,23.7,0.40,0,68
175s,25.3,23.6,0.50,0,76
180s,14.8,23.5,58.1,0,68
185s,11.0,23.4,0,0,0
190s,2.9,23.5,31.8,0,28
195s,5.7,23.4,0,0,0
200s,9.3,23.4,21.9,0,28
205s,4.8,23.4,0,0,0
210s,6.7,23.4,21.4,0,56
215s,13.5,23.4,0,0,0
220s,5.8,23.4,0.50,0,28
225s,5.4,23.3,5.69,0,24
230s,5.8,23.3,17.7,0,100
235s,11.5,23.3,0.70,0,48
240s,5.8,23.3,0.10,0,4092
245s,5.6,23.3,68.3,0,160
250s,5.7,23.3,34.4,0,28
255s,17.8,23.3,21.3,0,160
260s,12.4,23.3,0.10,0,4092
265s,6.5,23.3,64.0,0,56
270s,10.6,23.3,0.10,0,4092
275s,13.0,23.3,1.10,0,92
280s,10.5,23.3,1.10,0,236
285s,10.5,23.7,0.90,0,192
290s,31.4,23.5,5.10,0,36
295s,13.4,23.5,0.80,0,132
300s,26.1,23.6,5.69,0,56
