timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,9.8,23.4,0.80,0,76
5s,12.6,23.3,13.2,0,4095
10s,52.9,23.4,13.2,0,8534
15s,4.0,20.2,4.50,0,863
20s,4.2,19.5,3.20,0,19
25s,3.0,19.5,2.60,0,23
30s,17.4,19.9,3.80,0,74
35s,3.9,19.8,2.10,0,34
40s,4.0,19.6,6.80,0,56
45s,6.9,19.6,3.10,0,34
50s,4.7,19.5,18.6,0,100
55s,18.8,19.5,1.70,0,8187
60s,2.4,19.6,0.20,0,44
