timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,19.4,16.4,52.3,0,4094
5s,3.0,16.4,0,0,0
10s,30.7,16.5,9.10,0,60
15s,5.8,17.3,0.40,0,300
20s,45.1,16.8,6.20,0,5731
25s,7.1,16.6,2.90,0,843
30s,3.9,16.6,0.20,0,92
35s,21.8,16.5,17.0,0,344
40s,17.5,16.5,39.1,0,8182
45s,5.8,16.5,49.6,0,172
50s,8.7,16.5,0.10,0,4092
55s,27.1,16.6,86.6,0,6851
60s,4.0,16.5,49.4,0,228
65s,5.9,16.6,0.40,0,216
70s,3.0,16.5,77.8,0,52
75s,5.8,16.6,0.10,0,4092
80s,4.0,16.5,53.9,0,76
85s,20.7,16.6,0.10,0,4092
90s,4.9,16.6,0,0,0
95s,3.5,16.5,36.5,0,3992
100s,15.7,16.5,2.00,0,5519
105s,7.1,17.0,0.20,0,356
110s,8.7,17.1,11.2,0,4091
115s,4.7,17.1,4.20,0,1351
120s,38.4,17.3,39.2,0,11
