timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,15.1,6.7,0.20,0,12
5s,3.9,6.7,21.5,0,24
10s,26.7,6.8,26.22911,28,
15s,23.5,7.8,49.1,24,0
20s,15.5,8.2,8.49,723,12
25s,4.5,7.1,2.30,0,595
30s,43.6,6.9,3.10,0,751
35s,30.0,6.8,0.80,0,40
40s,5.0,6.8,0,0,0
45s,4.0,6.8,13.5,0,4091
50s,8.4,6.9,72.5,0,4099
55s,4.0,7.0,0.10,0,4091
60s,3.0,7.0,0,0,0
65s,19.8,6.9,13.3,0,37
70s,8.7,7.4,0.50,0,20
75s,8.1,7.4,0,0,0
80s,10.5,7.5,47.8,0,188
85s,10.9,8.0,0.80,0,372
90s,55.3,8.0,0.10,0,24
95s,11.7,7.7,1.50,0,348
100s,8.7,7.7,87.2,0,192
105s,9.1,7.4,0.10,0,4095
110s,6.2,7.4,0,0,0
115s,2.2,7.4,80.6,0,5031
120s,18.7,7.4,21.9,0,483
