timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,31.0,15.3,3.10,0,1954
5s,17.3,15.4,36.3,0,2100
10s,21.8,15.6,67.2,0,9087
15s,5.0,16.9,81.5,0,807
20s,15.0,16.6,41.4,0,4434
25s,6.9,16.5,6.30,0,2384
30s,5.0,16.5,0,0,0
35s,5.9,16.4,3.40,0,2976
40s,5.0,16.3,45.4,0,64
45s,6.8,16.2,0.40,0,156
50s,4.0,16.2,0,0,0
55s,4.0,16.2,0,0,0
60s,2.0,16.2,0,0,0
65s,18.7,16.3,13.4,0,4092
70s,5.9,16.2,2.00,0,2565
75s,9.9,15.4,0,0,0
80s,5.9,15.3,0,0,0
85s,18.6,15.3,7.79,0,2181
90s,5.9,15.3,0.40,0,104
95s,6.8,15.3,72.8,156,1672
100s,15.3,15.6,0,0,0
105s,14.1,15.5,71.1,0,5722
110s,6.0,15.5,71.4,0,1518
115s,4.9,16.1,20.8,0,148
120s,1.1,16.0,83.7,0,1084
