timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,10.3,6.8,10.1,0,9241
5s,11.9,6.8,0,0,0
10s,46.5,7.0,15.7,428,9292
15s,6.8,8.2,0,0,0
20s,23.5,8.3,6.30,276,5458
25s,4.1,7.2,1.30,0,352
30s,4.0,7.0,0.30,0,847
35s,23.8,7.1,41.8,0,205
40s,5.6,7.0,0.80,0,92
45s,6.0,7.0,2.30,0,539
50s,28.7,7.0,0.70,536,0
55s,10.2,7.5,0,0,0
60s,20.4,7.6,0.60,472,0
65s,8.0,8.2,74.1,0,311
70s,11.6,7.8,0,0,0
75s,10.0,7.8,21.3,0,20
80s,10.5,7.8,0.30,0,4094
85s,29.8,7.8,0,0,0
90s,6.9,7.4,1.10,0,4183
95s,8.2,7.5,6.30,0,472
100s,2.9,7.6,7.09,0,8184
105s,4.7,7.6,34.5,0,12
110s,7.8,7.6,50.7,0,64
115s,2.2,7.6,77.1,0,939
120s,15.8,7.6,0.70,0,348
