timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,4.0,12.2,0.10,0,4091
5s,4.7,12.2,14.0,0,731
10s,20.0,12.4,13.4,0,8243
15s,3.0,13.7,13.8,0,575
20s,18.8,13.0,0,0,0
25s,7.9,13.0,13.5,0,8184
30s,3.0,12.4,13.6,0,124
35s,47.0,12.8,61.0,0,2756
40s,5.0,12.8,5.00,0,1463
45s,4.0,12.7,0,0,0
50s,5.9,12.7,86.5,0,24
55s,5.0,12.7,30.1,0,44
60s,5.8,12.7,2.80,0,32
65s,4.9,12.8,6.99,0,1143
70s,39.2,12.8,3.60,0,1075
75s,12.9,12.8,26.9,0,20
80s,5.9,13.2,0,0,0
85s,5.8,13.2,0.70,0,48
90s,4.9,13.0,0,0,0
95s,4.2,12.9,4.30,0,140
100s,2.9,13.0,0,0,0
105s,2.9,13.1,0,0,0
110s,7.8,13.1,0,0,0
115s,9.9,13.1,0,0,0
120s,29.4,13.0,7.09,0,37
