timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,4.0,16.1,0.10,0,16
5s,12.0,16.1,29.7,0,2409
10s,22.4,16.2,13.2,0,8611
15s,4.0,17.3,71.1,0,1239
20s,16.7,17.6,1.40,0,2108
25s,6.7,17.7,13.6,0,452
30s,28.9,16.7,0.20,0,4092
35s,3.5,16.7,3.80,0,1296
40s,11.4,16.9,32.7,0,142
45s,13.6,16.8,1.90,0,495
50s,6.9,16.7,29.8,0,532
55s,6.9,16.7,73.1,0,948
60s,2.9,16.7,0,0,0
65s,30.7,16.6,0,0,0
70s,11.1,16.7,0,0,0
75s,17.0,16.7,65.1,0,107
80s,8.7,17.0,0.60,0,52
85s,9.2,17.0,15.8,0,284
90s,4.8,16.9,1.10,0,184
95s,5.8,16.8,43.7,0,3352
100s,6.7,16.9,0.30,0,4091
105s,22.1,17.1,47.9,0,10
110s,8.7,17.3,0,0,0
115s,8.7,17.4,81.8,0,416
120s,11.5,17.5,0,0,0
