timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,4.0,12.8,2.10,0,4091
5s,6.0,12.7,68.0,0,1726
10s,32.6,12.6,50.6,24,6504
15s,3.4,13.9,22.2,0,336
20s,12.6,13.4,60.7,0,149
25s,22.7,12.8,3.10,0,1027
30s,4.0,12.8,0,0,0
35s,7.7,12.7,13.5,0,24
40s,17.5,12.8,37.9,0,607
45s,25.7,13.0,39.1,0,190
50s,18.6,12.9,44.4,0,1155
55s,4.3,12.9,6.29,0,36
60s,15.8,12.9,8.29,0,164
65s,4.0,12.8,0,0,0
70s,15.8,12.9,6.89,0,7380
75s,15.9,12.9,0,0,0
80s,4.0,12.9,0.70,0,48
85s,5.9,12.9,0.10,0,4092
90s,21.2,13.2,43.6,0,47
95s,21.2,13.2,14.2,0,4092
100s,8.2,13.4,0,0,0
105s,10.8,13.6,13.4,0,4095
110s,7.4,13.5,0,0,0
115s,7.9,13.5,0,0,0
120s,13.5,13.5,0.10,0,4091
