timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,47.1,10.9,49.6,0,204
5s,3.0,10.9,13.5,0,4091
10s,13.1,10.8,0,0,0
15s,14.9,11.6,4.20,0,775
20s,2.0,12.6,80.8,0,891
25s,4.0,12.6,2.90,0,1384
30s,4.0,11.1,0,0,0
35s,31.7,10.9,44.6,0,2284
40s,7.0,11.0,0.80,0,132
45s,11.8,11.6,1.50,0,576
50s,18.9,11.6,2.70,0,796
55s,4.0,11.7,8.89,0,72
60s,3.0,11.8,1.60,0,528
65s,4.0,11.8,1.40,0,583
70s,27.6,11.7,96.4,0,77
75s,7.1,12.0,7.20,0,13
80s,50.0,12.2,6.90,0,7615
85s,65.9,12.4,12.94096,10,
90s,18.8,13.8,0.80,0,212
95s,11.1,14.0,5.70,0,1975
100s,10.5,14.0,1.70,0,3847
105s,16.5,13.9,91.7,0,103
110s,23.1,13.8,82.0,0,158
115s,10.8,13.7,11.6,0,55
120s,22.9,13.8,8.39,0,216
125s,14.0,13.7,24.6,0,51
130s,5.0,13.8,1.30,0,416
135s,8.4,13.9,0,0,0
140s,21.4,14.0,18.9,0,81
145s,23.6,14.1,0.40,0,48
150s,20.4,14.3,12.2,0,108
155s,34.5,14.3,0.10,0,8190
160s,12.7,14.5,85.7,0,1816
165s,15.3,14.3,73.3,0,2193
170s,12.6,14.1,0.60,0,212
175s,5.9,13.7,0.20,0,12
180s,8.8,14.1,0,0,0
185s,2.3,14.1,8.59,0,499
190s,3.9,14.1,1.30,0,348
195s,3.8,14.0,18.2,0,52
200s,14.6,14.0,28.6,0,280
205s,9.3,14.0,1.00,0,356
210s,6.7,14.1,0.40,0,108
215s,4.8,14.0,4.00,0,4091
220s,6.4,14.0,1.20,0,264
225s,10.1,14.0,0.70,0,200
230s,10.1,14.0,20.6,0,192
235s,10.5,14.1,75.6,0,220
240s,11.6,14.1,17.3,0,364
245s,2.9,14.0,55.6,0,96
250s,18.4,14.0,0.40,0,100
255s,3.9,14.0,1.60,0,416
260s,4.8,14.0,77.4,0,376
265s,3.0,14.1,1.00,0,216
270s,3.9,14.0,29.9,0,431
275s,7.7,14.1,1.20,0,232
280s,5.8,14.0,0.90,0,336
285s,23.0,14.0,4.40,0,372
290s,3.8,14.0,1.10,0,200
295s,40.7,14.0,0.40,0,208
300s,4.9,14.1,0,0,0
