timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,57.0,6.3,53.4,0,240
5s,16.7,6.9,25.3,38,0
10s,59.8,9.6,22.0,25,4889
15s,50.6,12.2,4.703055,5887,
20s,20.0,13.8,1.20,0,535
25s,4.7,13.1,1.30,0,228
30s,17.8,12.7,0,0,0
35s,17.9,12.3,2.702651,4095,
40s,38.1,11.7,1.10,0,611
45s,7.1,11.6,0.10,0,32
50s,18.6,11.5,4.30,0,21
55s,31.4,11.7,12.94092,16,
60s,34.1,11.9,74.5,0,2415
65s,24.7,12.0,3.70,0,1772
70s,67.0,12.9,0.70,0,415
75s,4.0,13.5,82.9,0,232
80s,5.9,13.5,54.6,0,254
85s,28.6,13.3,94.3,0,76
90s,34.1,13.5,9.90,0,3600
95s,3.9,13.9,4.30,0,919
100s,8.3,13.8,0,0,0
105s,12.0,13.8,0.20,0,88
110s,63.4,13.6,2.00,0,464
115s,8.1,13.7,7.80,0,13
120s,7.0,14.1,1.00,0,468
125s,12.5,13.9,2.40,0,588
130s,9.6,13.9,10.94092,300,
135s,5.8,13.7,5.49,0,444
140s,5.8,13.8,26.2,0,120
145s,5.9,13.8,0.90,0,164
150s,23.3,13.6,1.80,0,555
155s,4.9,13.6,0.80,0,176
160s,14.0,13.7,1.50,0,384
165s,12.4,14.0,21.6,0,148
170s,26.8,13.8,91.9,0,106
175s,9.5,13.9,80.9,0,1244
180s,8.6,14.3,1.40,0,704
185s,6.8,14.5,0,0,0
190s,10.5,14.5,1.30,0,328
195s,11.4,14.4,1.00,0,240
200s,11.3,14.2,3.00,0,935
205s,16.8,13.8,0.80,0,224
210s,4.6,13.8,3.00,0,952
215s,13.1,13.9,1.10,0,647
220s,4.4,13.9,2.20,0,712
225s,12.1,14.2,1.20,0,284
230s,7.0,14.2,0,0,0
235s,15.3,14.2,0.80,0,292
240s,7.7,14.2,0.10,0,188
245s,9.6,14.2,50.5,0,432
250s,13.3,14.3,1.90,0,688
255s,12.8,14.1,2.50,0,588
260s,31.1,14.3,2.30,120,0
265s,6.8,14.3,0.40,0,92
270s,3.8,14.2,4.20,0,376
275s,3.9,14.2,1.70,0,891
280s,3.5,14.2,0.90,0,948
285s,11.7,14.1,0.30,0,96
290s,15.2,14.1,15.8,0,483
295s,7.8,14.2,21.9,0,104
300s,6.6,14.1,1.40,0,731
