timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,41.2,11.2,53.6,0,740
5s,39.3,11.9,5.29,0,40
10s,14.1,11.8,0.50,0,620
15s,3.0,12.7,2.70,0,1544
20s,34.1,12.3,0.90,0,527
25s,3.0,12.2,0.80,0,272
30s,3.0,12.0,0.40,0,112
35s,4.0,12.0,0.80,0,264
40s,2.2,12.0,0.50,0,88
45s,2.3,11.9,0.10,0,8184
50s,5.0,12.0,5.00,0,1004
55s,10.5,12.2,10.14095,6699,
60s,15.5,12.1,32.7,0,58
65s,28.6,12.6,3.40,0,8723
70s,80.0,13.1,2.90,0,1060
75s,6.9,14.1,1.30,0,328
80s,22.4,14.0,3.80,0,228
85s,6.6,14.0,18.6,0,68
90s,17.8,13.8,92.4,0,82
95s,16.5,13.9,2.20,0,804
100s,25.3,13.9,14.2,0,5314
105s,4.0,14.4,0.90,0,216
110s,3.5,14.0,8.30,0,3247
115s,7.9,14.4,0.40,0,100
120s,8.3,14.2,4.20,0,17
125s,21.4,14.3,28.8,0,755
130s,8.5,14.3,0.40,0,88
135s,4.0,14.3,31.2,0,572
140s,19.6,14.2,0.50,0,232
145s,7.9,14.3,79.6,0,504
150s,3.6,14.3,19.4,0,60
155s,5.8,14.0,3.70,0,9507
160s,17.9,13.9,34.9,0,38
165s,8.8,14.7,0.70,0,248
170s,35.7,15.0,0.40,0,328
175s,18.3,15.4,13.4,0,45
180s,7.8,15.0,2.70,0,995
185s,9.7,14.9,2.60,0,787
190s,8.1,14.7,1.10,0,252
195s,10.6,14.6,0.50,0,84
200s,4.6,14.7,2.30,0,1402
205s,4.9,14.4,0.40,0,128
210s,3.8,14.4,0.30,0,40
215s,5.8,14.4,1.50,0,280
220s,2.9,14.4,4.80,0,1544
225s,42.4,14.6,2.604095,1580,
230s,5.7,14.8,1.40,0,723
235s,50.0,14.7,1.60,0,459
240s,7.4,14.7,0.60,0,176
245s,6.8,14.5,0.40,0,264
250s,8.2,14.6,1.60,0,252
255s,5.9,14.5,1.00,0,240
260s,3.9,14.5,19.0,0,52
265s,11.4,14.5,0.30,0,168
270s,4.9,14.5,0.50,0,312
275s,4.8,14.5,1.10,0,192
280s,4.5,14.6,0.80,0,184
285s,7.1,14.6,13.6,0,28
290s,8.2,14.5,0.90,0,531
295s,10.4,14.5,0.70,0,392
300s,3.4,14.5,0.40,0,92
