timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,22.6,10.8,0.30,0,56
5s,13.1,11.3,3.20,0,1079
10s,12.9,11.5,84.2,0,96
15s,14.1,12.6,3.00,0,1767
20s,19.0,11.9,0.60,0,483
25s,4.8,11.7,1.10,0,228
30s,4.0,11.6,0.50,0,128
35s,3.0,11.6,0,0,0
40s,17.0,11.6,14.9,0,776
45s,7.9,11.6,0.70,0,236
50s,1.1,11.6,3.00,0,872
55s,4.0,11.8,7.10,0,27
60s,76.1,12.0,12.9,0,6822
65s,46.4,12.1,86.6,0,5040
70s,20.9,12.4,40.9,0,79
75s,34.1,14.1,2.10,0,531
80s,5.1,14.2,0,0,0
85s,23.5,13.9,92.3,0,163
90s,46.6,13.8,86.6,0,228
95s,7.3,13.8,2.40,0,624
100s,6.8,14.0,0.50,0,224
105s,7.1,13.9,82.5,0,97
110s,11.8,13.9,71.3,0,1544
115s,9.0,14.5,1.30,0,516
120s,9.6,14.5,82.2,0,104
125s,12.8,14.7,49.3,0,1336
130s,58.1,14.9,1.60,0,528
135s,15.1,14.3,9.19,0,24
140s,33.0,14.6,3.70,0,959
145s,4.8,14.4,19.4,0,68
150s,7.6,14.3,0.30,0,80
155s,45.5,13.9,13.4,0,49
160s,2.2,13.9,0,0,0
165s,2.9,14.0,23.1,0,296
170s,11.6,14.1,1.70,0,452
175s,6.8,14.1,72.4,0,336
180s,7.8,14.1,0,0,0
185s,8.6,14.1,1.30,0,300
190s,3.9,14.1,0.80,0,212
195s,3.8,14.1,19.4,0,28
200s,18.3,14.1,0.80,0,440
205s,15.3,14.1,0.80,0,411
210s,5.5,14.2,1.80,0,256
215s,6.7,14.1,0,0,0
220s,4.9,14.2,37.5,0,376
225s,6.3,14.2,0.80,0,292
230s,10.9,14.1,82.5,0,228
235s,4.8,14.2,19.4,0,28
240s,34.7,14.1,6.69,0,408
245s,8.1,14.2,0.70,0,356
250s,7.7,14.2,1.30,0,176
255s,8.7,14.2,1.00,0,308
260s,7.1,14.1,1.20,0,336
265s,4.9,14.2,6.79,0,212
270s,6.8,14.1,0.70,0,280
275s,7.2,14.1,0.80,0,308
280s,6.7,14.1,1.00,0,328
285s,3.9,14.1,19.4,0,40
290s,19.4,14.2,0.60,0,132
295s,5.8,14.2,1.60,0,744
300s,4.8,14.2,21.9,0,108
