timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,44.6,11.2,54.9,0,776
5s,10.7,11.8,11.0,0,13
10s,14.8,11.8,19.0,0,56
15s,13.1,12.4,0.30,0,84
20s,2.3,12.3,0.50,0,264
25s,8.2,12.0,5.89,0,11
30s,5.0,11.9,0.30,0,240
35s,8.3,12.0,0.50,0,156
40s,2.4,12.0,0,0,0
45s,13.9,11.9,0.20,0,272
50s,4.0,11.9,1.80,0,487
55s,4.0,12.1,1.80,0,2151
60s,3.0,12.0,28.8,0,100
65s,10.7,12.3,12.2,0,20
70s,31.0,12.5,2.80,0,6079
75s,48.8,12.8,17.2,0,5884
80s,5.9,14.2,0.30,0,36
85s,6.9,14.2,39.9,0,3687
90s,43.5,14.0,78.9,0,419
95s,22.1,13.9,43.3,0,130
100s,5.8,13.9,0.50,0,96
105s,8.0,13.9,19.1,0,72
110s,21.8,13.9,3.40,0,664
115s,14.8,13.8,8.20,0,3759
120s,3.9,14.0,5.60,0,1868
125s,3.9,14.0,82.0,0,344
130s,5.9,13.8,1.50,0,180
135s,8.9,14.1,10.6,0,12
140s,7.8,13.9,8.29,0,148
145s,4.7,14.1,14.0,0,19
150s,12.7,14.5,6.79,0,3340
155s,11.9,14.3,43.3,0,209
160s,32.2,14.0,0.90,0,420
165s,8.0,14.0,61.0,0,120
170s,14.4,14.3,0.60,0,76
175s,3.4,14.4,19.1,0,48
180s,15.5,14.3,38.6,0,800
185s,4.9,14.5,0,0,0
190s,4.0,14.2,2.30,0,32
195s,4.9,14.3,19.1,0,76
200s,33.6,14.3,20.3,0,480
205s,31.4,14.5,3.10,0,1003
210s,4.9,14.2,19.1,0,200
215s,7.6,14.2,0.90,0,228
220s,12.6,14.0,18.1,0,296
225s,7.8,14.0,0.40,0,16
230s,6.9,14.1,10.44095,2883,
235s,38.2,14.3,1.10,0,236
240s,21.8,14.2,37.8,0,101
245s,14.6,14.4,74.4,0,363
250s,7.8,14.6,0.70,0,268
255s,32.6,14.7,0.30,0,52
260s,5.7,14.7,1.10,0,380
265s,13.0,14.7,21.6,0,2681
270s,10.5,14.7,3.70,0,2055
275s,17.1,14.7,0.60,0,188
280s,6.8,14.0,53.0,0,471
285s,5.9,14.2,2.80,0,788
290s,4.9,14.3,1.70,0,492
295s,29.9,14.3,47.7,0,1007
300s,5.7,14.3,1.20,0,375
