timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,32.9,11.1,2.30,0,604
5s,9.1,11.5,0.30,0,80
10s,23.5,11.7,7.70,0,904
15s,14.1,12.7,0.60,0,236
20s,4.3,12.0,54.6,0,232
25s,4.0,12.1,0.40,0,76
30s,5.0,12.0,2.20,0,12
35s,4.0,11.9,0,0,0
40s,5.0,11.9,52.9,0,280
45s,7.1,11.9,0,0,0
50s,7.8,11.9,2.20,0,767
55s,16.8,12.0,5.20,0,248
60s,4.0,12.1,0,0,0
65s,7.3,12.0,4.80,0,3756
70s,16.5,12.3,26.14095,30,
75s,25.6,12.6,1.80,0,2500
80s,84.1,12.9,7.20,0,2524
85s,5.8,13.9,5.29,0,1063
90s,4.9,14.0,0.90,0,252
95s,21.2,14.0,2.708184,751,
100s,20.6,13.8,89.8,0,180
105s,11.6,14.0,45.9,0,488
110s,4.0,14.1,40.5,0,188
115s,38.6,14.1,12.3,0,5763
120s,41.2,13.9,94.8,0,64
125s,7.1,14.1,0.90,0,276
130s,3.5,14.2,68.1,0,212
135s,6.9,14.2,1.60,0,660
140s,26.7,14.3,5.70,0,9530
145s,9.5,14.4,20.0,0,64
150s,8.1,14.5,0.40,0,96
155s,21.9,14.6,0.10,0,8190
160s,10.1,14.8,6.69,0,1738
165s,10.7,14.4,18.9,0,56
170s,9.8,14.5,0.50,0,108
175s,17.4,14.4,21.1,0,68
180s,6.7,14.8,42.8,0,1060
185s,5.6,14.7,0.30,0,60
190s,4.7,14.4,34.3,0,543
195s,5.8,14.4,0.30,0,84
200s,18.6,14.4,89.4,0,88
205s,8.8,14.3,0.70,0,136
210s,5.8,14.4,1.20,0,292
215s,24.4,14.4,1.30,0,328
220s,7.6,14.6,0.30,0,40
225s,6.9,14.5,76.5,0,22
230s,33.7,14.6,0,0,0
235s,20.0,14.5,7.59,0,468
240s,8.6,14.6,24.4,0,252
245s,3.9,14.4,1.70,0,624
250s,21.8,14.5,1.20,0,420
255s,7.3,14.6,0.10,0,188
260s,13.5,14.4,2.60,0,463
265s,5.8,14.6,1.20,0,408
270s,17.2,14.6,0,0,0
275s,2.2,14.5,0.50,0,68
280s,3.9,14.6,16.3,0,516
285s,4.8,14.5,0.90,0,248
290s,16.5,14.4,22.0,0,336
295s,5.7,14.5,0.80,0,216
300s,6.1,14.5,1.30,0,428
