timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,35.3,10.5,50.9,0,196
5s,39.3,11.1,1.70,0,659
10s,14.1,11.3,18.3,0,48
15s,13.1,12.0,73.6,0,1140
20s,4.0,11.8,64.6,0,579
25s,4.0,11.6,0.90,0,204
30s,4.0,11.4,0,0,0
35s,4.0,11.5,0,0,0
40s,3.2,11.4,0.80,0,108
45s,3.0,11.5,0,0,0
50s,6.2,11.5,0,0,0
55s,6.6,11.7,14.44092,17,
60s,17.2,11.6,63.3,0,68
65s,6.1,11.9,5.60,0,2623
70s,73.0,12.1,1.40,0,2380
75s,87.8,12.2,10.2,0,3547
80s,11.3,13.5,0,0,0
85s,5.9,13.6,18.4,0,40
90s,5.0,13.4,13.4,0,152
95s,42.4,13.4,93.9,0,79
100s,10.8,13.4,0.60,0,120
105s,6.9,13.5,1.50,0,300
110s,3.0,13.5,1.10,0,232
115s,14.0,13.4,8.20,0,3243
120s,9.8,13.4,0.30,0,76
125s,4.0,13.5,60.6,0,324
130s,3.0,13.4,0.30,0,76
135s,5.0,13.5,3.40,0,14
140s,43.2,13.4,0.40,0,88
145s,5.0,13.4,0,0,0
150s,3.0,13.5,0.60,0,160
155s,4.8,13.4,93.7,0,148
160s,16.8,13.5,0.30,0,24
165s,3.3,13.5,1.70,0,811
170s,18.6,13.7,19.3,0,432
175s,25.0,13.6,0.30,0,80
180s,3.0,13.6,31.2,0,140
185s,19.2,13.7,4.80,0,324
190s,3.0,13.7,18.6,0,112
195s,18.6,13.8,33.6,0,392
200s,3.9,13.7,17.4,0,4034
205s,42.7,13.6,92.1,0,221
210s,11.3,14.0,1.10,0,488
215s,10.5,14.1,0.40,0,92
220s,15.3,14.0,0.80,0,204
225s,10.0,14.0,0.50,0,1080
230s,20.7,14.2,1.00,0,196
235s,9.4,14.0,1.50,0,236
240s,6.9,14.1,2.70,0,716
245s,23.9,14.1,1.60,0,2924
250s,13.0,14.4,2.10,0,791
255s,4.5,14.4,0.60,0,192
260s,6.4,14.2,0.80,0,104
265s,4.9,14.1,5.89,0,4156
270s,4.7,14.1,5.00,0,272
275s,6.7,14.1,0.80,0,108
280s,4.0,14.1,6.49,0,76
285s,9.3,14.0,0.80,0,208
290s,7.2,14.1,1.10,0,352
295s,3.8,14.0,0.50,0,196
300s,12.8,14.1,0.70,0,160
