timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,27.1,10.9,51.6,0,204
5s,30.7,11.6,2.60,0,915
10s,11.8,11.6,1.70,0,136
15s,12.9,12.4,37.5,0,44
20s,3.0,12.1,58.1,0,76
25s,2.3,11.8,0.90,0,459
30s,4.0,11.7,0.40,0,148
35s,16.8,11.7,0,0,0
40s,5.8,11.7,0.30,0,40
45s,3.0,11.7,0.30,0,156
50s,28.0,11.7,0,0,0
55s,3.7,11.9,1.00,0,256
60s,22.0,12.0,4.90,0,5535
65s,20.2,12.2,84.0,0,5771
70s,40.2,12.2,52.2,0,105
75s,5.0,13.7,0.80,0,140
80s,6.8,13.9,82.5,0,196
85s,6.9,13.7,41.5,0,3565
90s,33.0,13.6,90.3,0,237
95s,6.6,13.7,4.90,0,1008
100s,3.0,13.7,0.60,0,264
105s,4.9,13.7,0.20,0,40
110s,4.8,14.1,3.60,0,13
115s,5.0,14.0,1.40,0,352
120s,17.0,13.9,3.50,0,636
125s,31.4,14.1,22.8,0,252
130s,4.9,14.1,1.10,0,256
135s,43.0,14.1,62.2,0,301
140s,7.7,14.5,0.50,0,292
145s,10.2,14.8,0.30,0,304
150s,10.5,14.9,1.20,0,524
155s,8.1,14.3,0.80,0,280
160s,9.4,14.4,0.30,0,652
165s,29.1,14.2,51.9,0,52
170s,6.8,14.6,0.40,0,208
175s,9.0,14.6,10.1,0,25
180s,18.9,14.3,37.8,0,169
185s,5.7,14.3,2.50,0,671
190s,7.9,14.3,55.1,0,220
195s,4.8,14.3,0.30,0,80
200s,3.9,14.3,21.2,0,124
205s,4.8,14.4,5.99,0,30
210s,4.7,14.4,1.90,0,336
215s,14.4,14.3,21.1,0,100
220s,10.3,14.3,0.30,0,116
225s,26.2,14.4,15.4,0,839
230s,5.9,14.3,0.40,0,84
235s,4.0,14.4,1.50,0,348
240s,5.8,14.4,52.1,0,596
245s,4.9,14.4,31.2,0,180
250s,18.6,14.4,1.70,0,360
255s,4.5,14.4,0,0,0
260s,3.8,14.4,0,0,0
265s,2.9,14.4,1.60,0,420
270s,5.8,14.4,0.70,0,380
275s,7.7,14.4,1.10,0,384
280s,3.3,14.4,0.30,0,116
285s,15.2,14.4,0.30,0,72
290s,4.8,14.4,82.5,0,420
295s,16.3,14.5,0.60,0,228
300s,5.7,14.4,2.80,0,568
