timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,41.7,11.0,50.7,0,200
5s,14.1,11.7,3.10,0,987
10s,20.0,11.9,7.70,0,92
15s,14.1,12.6,70.4,0,772
20s,4.0,12.3,0.90,0,308
25s,4.9,12.0,0.30,0,52
30s,4.0,11.9,4.60,0,140
35s,4.0,11.9,0,0,0
40s,3.0,11.9,0.80,0,432
45s,9.9,12.0,0,0,0
50s,4.3,11.9,69.3,0,368
55s,1.2,12.0,46.9,0,372
60s,4.0,12.1,6.99,0,1335
65s,24.4,12.2,63.5,0,154
70s,21.8,12.5,1.90,0,2880
75s,52.3,13.3,1.30,0,332
80s,2.3,14.1,1.10,0,216
85s,28.2,14.1,8.30,0,2859
90s,35.2,14.1,89.6,0,206
95s,13.9,14.1,7.10,0,3007
100s,9.3,14.1,0,0,0
105s,17.5,14.1,0.50,0,236
110s,3.5,14.1,8.59,0,320
115s,5.0,14.0,3.20,0,1095
120s,3.5,14.1,18.6,0,64
125s,2.2,14.3,72.4,0,244
130s,4.7,14.2,0,0,0
135s,31.8,14.3,41.34092,4072,
140s,9.7,14.3,0.20,0,144
145s,15.5,14.7,3.60,0,1059
150s,19.1,14.7,23.9,0,908
155s,29.4,14.6,77.9,0,3752
160s,12.7,14.6,0.70,0,268
165s,36.5,14.2,2.50,0,560
170s,11.9,14.7,2.50,0,911
175s,6.7,14.9,5.40,0,24
180s,4.8,14.6,4.80,0,4663
185s,11.5,14.5,0.50,0,200
190s,2.2,14.5,0.60,0,152
195s,5.7,14.5,0.40,0,72
200s,7.8,14.4,0.40,0,132
205s,4.7,14.5,0.80,0,308
210s,8.8,14.5,0.80,0,248
215s,11.6,14.5,7.99,0,300
220s,3.8,14.5,1.40,0,348
225s,3.8,14.4,19.0,0,76
230s,3.9,14.6,1.10,0,352
235s,10.6,14.4,0.60,0,192
240s,4.7,14.7,0,0,0
245s,7.0,14.8,1.40,0,332
250s,8.5,14.7,1.60,0,300
255s,10.5,14.5,1.00,0,224
260s,4.8,14.5,0.50,0,76
265s,28.6,14.6,26.0,0,415
270s,3.8,14.4,20.0,0,136
275s,6.7,14.4,34.1,0,352
280s,6.8,14.4,1.80,0,515
285s,13.4,14.5,0,0,0
290s,3.4,14.5,81.5,0,228
295s,5.7,14.4,0.60,0,76
300s,8.8,14.4,0.70,0,304
