timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,18.6,14.2,0.40,0,80
5s,13.7,14.2,0.40,0,24
10s,28.7,14.4,34.0,220,15
15s,8.2,15.7,6.20,0,2276
20s,19.3,15.6,40.9,0,7651
25s,14.6,14.6,90.5,0,52
30s,19.8,14.5,43.1,0,32
35s,26.0,14.5,0,0,0
40s,15.5,14.5,1.00,0,140
45s,44.3,14.5,0,0,0
50s,17.0,14.5,0.20,0,164
55s,17.6,14.5,0.30,0,28
60s,38.1,14.5,0.90,0,100
65s,14.1,14.5,1.10,0,268
70s,16.3,14.5,15.7,0,44
75s,8.4,14.5,62.8,0,64
80s,16.3,14.5,0.40,0,12
85s,19.6,14.5,88.1,0,52
90s,8.1,14.5,9.99,0,48
95s,26.8,14.5,44.4,0,148
100s,46.5,14.6,1.30,0,3661
105s,17.6,14.6,17.0,0,33
110s,15.1,15.0,8.69,0,376
115s,9.4,15.2,0.10,0,4095
120s,12.8,15.2,4.10,0,648
