timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,6.8,19.3,0,0,0
5s,3.1,19.3,0.40,0,76
10s,31.8,19.5,45.3,0,7779
15s,4.9,20.7,71.3,0,188
20s,6.6,20.7,1.10,0,2098
25s,5.8,20.7,0.10,0,48
30s,8.2,19.7,5.00,0,12
35s,32.2,19.8,93.8,0,139
40s,3.5,19.9,26.9,0,280
45s,5.8,20.3,1.40,52,128
50s,20.5,20.3,0.40,0,80
55s,29.5,20.4,39.4,0,164
60s,18.8,20.6,4.40,0,248
65s,5.9,20.5,0.80,0,60
70s,7.3,20.8,0,0,0
75s,19.4,20.4,50.8,0,72
80s,8.0,20.4,0.90,272,0
85s,4.9,20.4,1.00,0,56
90s,31.7,20.5,56.3,0,235
95s,19.8,20.9,37.7,0,1028
100s,30.2,21.0,4.70,0,24
105s,9.4,21.2,1.10,0,332
110s,19.6,21.3,1.90,0,172
115s,12.8,21.0,84.3,0,664
120s,13.1,20.9,2.10,0,684
