timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,9.0,17.7,71.8,0,156
5s,37.6,17.8,19.3,0,1056
10s,32.9,18.1,6.10,0,23
15s,10.6,18.7,0.50,0,652
20s,15.5,19.1,16.0,0,2146
25s,7.0,18.2,1.00,0,136
30s,8.7,18.0,1.40,0,116
35s,19.3,17.9,0,0,0
40s,4.5,17.8,47.8,0,40
45s,7.1,17.8,0.30,0,396
50s,3.3,17.8,0.60,0,76
55s,7.7,17.8,0,0,0
60s,3.4,17.8,89.8,0,72
65s,4.8,17.8,0.10,0,40
70s,9.6,17.8,1.40,0,152
75s,7.4,17.8,41.8,0,176
80s,5.7,17.9,3.00,0,12
85s,2.3,17.8,83.4,0,64
90s,2.3,17.8,0,0,0
95s,5.9,17.8,0.90,0,76
100s,14.0,17.8,0,0,0
105s,4.9,17.8,13.6,0,4094
110s,6.7,17.8,0.90,0,92
115s,10.8,17.8,0.10,0,0
120s,3.8,17.7,18.4,0,28
