timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,17.5,18.9,0,0,0
5s,12.8,18.9,0,0,0
10s,45.2,18.9,30.11476,8892,
15s,84.6,20.1,39.6,490,287
20s,23.8,19.6,12.04093,8470,
25s,66.3,14.0,3.20,0,28
30s,14.7,14.0,1.00,0,208
35s,12.9,13.8,0,0,0
40s,4.9,13.7,0.30,0,24
45s,4.8,13.5,0.50,0,28
50s,5.8,13.6,0.80,0,156
55s,7.5,13.5,0.50,0,24
60s,4.5,13.5,2.90,0,312
65s,3.5,13.6,0.50,0,40
70s,44.1,13.6,1.20,0,152
75s,5.8,13.6,0.30,0,24
80s,24.8,13.6,29.6,0,316
85s,3.9,13.6,0.30,0,24
90s,9.8,13.6,0,0,0
95s,5.8,13.5,0.60,0,28
100s,4.6,13.6,0,0,0
105s,29.5,13.7,7.09,0,11
110s,9.3,14.2,0.90,0,368
115s,11.5,14.2,0.80,0,196
120s,19.0,14.2,28.9,0,1368
