timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,14.3,22.0,1.50,0,791
5s,31.0,22.1,2.40,0,544
10s,26.7,22.1,32.6,352,14
15s,14.9,23.2,58.3,0,168
20s,17.2,23.0,6.80,0,9206
25s,20.2,22.4,2.60,0,436
30s,50.6,22.2,0.10,0,120
35s,21.2,22.2,2.10,0,616
40s,28.2,22.3,24.9,0,72
45s,17.5,22.1,0,0,0
50s,13.3,22.2,36.3,0,720
55s,9.3,22.2,1.90,0,943
60s,35.6,22.2,1.20,0,660
65s,22.1,22.3,20.1,0,144
70s,5.8,22.3,0.50,0,28
75s,14.1,22.3,1.00,0,264
80s,28.7,22.4,0.10,0,4096
85s,11.3,22.3,0.90,0,288
90s,13.3,22.4,0.20,0,156
95s,7.0,22.5,0.60,0,564
100s,18.4,22.5,0.20,0,364
105s,26.7,22.5,1.10,0,308
110s,13.5,23.1,0.50,0,28
115s,10.1,23.1,1.60,0,232
120s,26.6,23.1,75.7,0,68
