timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,32.6,14.3,61.0,0,268
5s,15.0,14.4,0.50,0,64
10s,29.4,14.5,31.2,0,14
15s,28.9,15.6,29.4,0,2360
20s,12.8,15.8,73.6,0,16
25s,6.0,14.7,0,0,0
30s,12.7,14.7,19.8,0,100
35s,39.8,14.5,30.6,0,76
40s,29.3,14.7,70.4,0,19
45s,10.7,14.6,1.10,0,272
50s,25.5,14.7,12.3,0,192
55s,25.5,14.7,20.8,0,100
60s,7.0,14.7,0.90,0,92
65s,14.1,14.6,0,0,0
70s,8.1,14.6,0,0,0
75s,10.6,14.6,80.7,0,176
80s,26.2,14.6,0.10,0,36
85s,8.1,14.6,5.40,0,4095
90s,20.7,14.6,62.7,0,28
95s,18.1,14.7,5.29,0,100
100s,27.7,14.9,77.8,0,345
105s,10.7,15.1,0.50,0,460
110s,11.6,15.2,3.10,0,1003
115s,36.7,15.4,0,0,0
120s,20.7,15.4,1.00,0,184
