timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,15.5,19.9,22.0,0,332
5s,4.8,19.8,0,0,0
10s,16.5,19.9,45.5,0,3971
15s,4.3,20.8,42.1,0,152
20s,4.8,21.1,3.40,0,4094
25s,30.2,21.0,30.6,0,432
30s,14.1,20.3,0.70,0,64
35s,6.7,20.2,18.6,0,60
40s,26.5,20.2,56.0,0,183
45s,16.5,20.1,34.9,0,440
50s,4.6,20.1,1.00,0,44
55s,10.5,20.1,0.50,0,24
60s,25.0,20.1,0.80,0,148
65s,6.8,20.1,0.80,0,132
70s,8.8,20.0,0.70,0,144
75s,16.8,20.1,35.3,0,107
80s,7.7,20.6,24.5,0,24
85s,32.0,20.6,0.40,0,112
90s,9.4,20.7,2.60,0,872
95s,9.6,20.6,0.70,0,32
100s,11.1,20.5,1.00,0,467
105s,8.3,20.8,0.90,0,260
110s,10.3,20.4,0,0,0
115s,4.5,20.4,0,0,0
120s,5.8,20.5,1.10,0,200
