timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,15.7,17.5,37.7,0,80
5s,4.5,17.5,0,0,0
10s,23.5,17.8,31.0,128,17
15s,41.9,18.4,4.90,0,2716
20s,3.9,18.1,0.70,0,592
25s,7.4,17.9,0.10,0,4091
30s,3.9,17.8,0.50,0,36
35s,4.2,17.8,0.10,0,4094
40s,4.3,17.8,0,0,0
45s,14.0,17.9,82.7,0,185
50s,12.5,17.8,31.3,0,32
55s,4.0,17.8,15.4,0,8183
60s,18.3,17.8,39.7,0,124
65s,10.9,17.8,0.70,0,40
70s,8.1,17.8,77.7,0,436
75s,4.9,17.8,0.10,0,4091
80s,4.9,17.8,0,0,0
85s,9.8,17.8,58.7,0,88
90s,4.7,17.7,0,0,0
95s,3.5,17.8,1.10,0,296
100s,6.7,17.8,0.20,0,16
105s,6.8,17.8,0,0,0
110s,4.3,17.8,0.60,0,72
115s,12.2,17.8,0,0,0
120s,16.8,17.8,29.5,0,122
